uniprotkb_A	uniprotkb_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier
P27986	P10398	PIK3R1	ARAF	MI:0084	King	2000	10967104	MI:0407	EBI-7379242
P27986	P10398	PIK3R1	ARAF	MI:0019	King	2000	10967104	MI:0915	EBI-7379266
P07237	Q03692	P4HB	COL10A1	MI:0030	Oliver	1999	10436013	MI:0915	EBI-7067995
P27797	P30101	CALR	PDIA3	MI:0030	Oliver	1999	10436013	MI:0915	EBI-7068006
Q96HE7	P07237	ERO1A	P4HB	MI:0019	Benham	2000	10970843	MI:0915	EBI-7380164
P50750	O60563	CDK9	CCNT1	MI:0019	Wei	1998	9491887	MI:0915	EBI-8679485
P53999	P68400	SUB1	CSNK2A1	MI:0096	Ge	1994	7809103	MI:0217	EBI-8620078
P38398	P52294	BRCA1	KPNA1	MI:0018	Chen	1996	8955125	MI:0915	EBI-8667343
P11940	Q15365	PABPC1	PCBP1	MI:0096	Wang	1999	10373504	MI:0407	EBI-7033672
Q15366	P11940	PCBP2	PABPC1	MI:0096	Wang	1999	10373504	MI:0407	EBI-7033759
P11940	Q15366	PABPC1	PCBP2	MI:0018	Wang	1999	10373504	MI:0915	EBI-7033857
P11940	Q15365	PABPC1	PCBP1	MI:0018	Wang	1999	10373504	MI:0915	EBI-7033899
Q14192	P49810	FHL2	PSEN2	MI:0018	Tanahashi	2000	11001931	MI:0915	EBI-7403032
P49810	Q14192	PSEN2	FHL2	MI:0096	Tanahashi	2000	11001931	MI:0407	EBI-7403059
Q14192	P49810	FHL2	PSEN2	MI:0019	Tanahashi	2000	11001931	MI:0915	EBI-7403100
Q9GZV5	Q15599	WWTR1	SLC9A3R2	MI:0428	Kanai	2000	11118213	MI:0403	EBI-7462203
Q01196	Q9GZV5	RUNX1	WWTR1	MI:0049	Kanai	2000	11118213	MI:0407	EBI-7462269
Q9GZV5	Q01196	WWTR1	RUNX1	MI:0011	Kanai	2000	11118213	MI:0915	EBI-7462315
Q15599	Q9GZV5	SLC9A3R2	WWTR1	MI:0019	Kanai	2000	11118213	MI:0915	EBI-7462366
P63104	Q9GZV5	YWHAZ	WWTR1	MI:0096	Kanai	2000	11118213	MI:0914	EBI-7462435
Q15034	P0CG48	HERC3	UBC	MI:0096	Cruz	2001	11163799	MI:0407	EBI-7487224
O14807	P55196	MRAS	MLLT4	MI:0019	Quilliam	1999	10446149	MI:0915	EBI-7071677
O14807	P55196	MRAS	MLLT4	MI:0018	Quilliam	1999	10446149	MI:0915	EBI-7071696
O60674	P38398	JAK2	BRCA1	MI:0019	Gao	2001	11163768	MI:0915	EBI-7486280
P23458	P38398	JAK1	BRCA1	MI:0019	Gao	2001	11163768	MI:0915	EBI-7486291
P15918	P52294	RAG1	KPNA1	MI:0019	Cortes	1994	8052633	MI:0915	EBI-8632978
P52294	P15918	KPNA1	RAG1	MI:0018	Cortes	1994	8052633	MI:0915	EBI-8633004
Q13233	P62258	MAP3K1	YWHAE	MI:0019	Fanger	1998	9452471	MI:0915	EBI-8676473
Q9Y2U5	P62258	MAP3K2	YWHAE	MI:0019	Fanger	1998	9452471	MI:0915	EBI-8676453
Q9Y2U5	P62258	MAP3K2	YWHAE	MI:0428	Fanger	1998	9452471	MI:0403	EBI-8676539
P62258	Q13233	YWHAE	MAP3K1	MI:0428	Fanger	1998	9452471	MI:0403	EBI-8676511
P31946	P08069	YWHAB	IGF1R	MI:0096	Furlanetto	1997	9581554	MI:0407	EBI-8688285
P31946	P08069	YWHAB	IGF1R	MI:0018	Furlanetto	1997	9581554	MI:0915	EBI-8688308
P08069	P31946	IGF1R	YWHAB	MI:0019	Furlanetto	1997	9581554	MI:0915	EBI-8688358
P31946	P08069	YWHAB	IGF1R	MI:0019	Furlanetto	1997	9581554	MI:0914	EBI-8688396
P63104	P08069	YWHAZ	IGF1R	MI:0019	Furlanetto	1997	9581554	MI:0914	EBI-8688409
Q15811	P42566	ITSN1	EPS15	MI:0006	Sengar	1999	10064583	MI:0915	EBI-6951101
Q15811	P42566	ITSN1	EPS15	MI:0006	Sengar	1999	10064583	MI:0915	EBI-10918981
P49757	P42566	NUMB	EPS15	MI:0019	Salcini	1997	9303539	MI:0915	EBI-8619771
P49757	P42566	NUMB	EPS15	MI:0096	Salcini	1997	9303539	MI:0407	EBI-8619796
P52594	P42566	AGFG1	EPS15	MI:0096	Salcini	1997	9303539	MI:0915	EBI-8619815
P52594	P42566	AGFG1	EPS15	MI:0006	Salcini	1997	9303539	MI:0915	EBI-8619863
Q99708	Q08999	RBBP8	RBL2	MI:0018	Meloni	1999	10449734	MI:0915	EBI-7074559
Q99708	Q08999	RBBP8	RBL2	MI:0019	Meloni	1999	10449734	MI:0915	EBI-7074603
Q99708	Q13363	RBBP8	CTBP1	MI:0018	Schaeper	1998	9535825	MI:0915	EBI-8687102
Q13363	Q99708	CTBP1	RBBP8	MI:0019	Schaeper	1998	9535825	MI:0915	EBI-8687132
Q99708	Q13363	RBBP8	CTBP1	MI:0096	Schaeper	1998	9535825	MI:0407	EBI-8687156
O75369	P49810	FLNB	PSEN2	MI:0018	Zhang	1998	9437013	MI:0915	EBI-8675197
O75369	P49768	FLNB	PSEN1	MI:0018	Zhang	1998	9437013	MI:0915	EBI-8675177
P49768	P21333	PSEN1	FLNA	MI:0018	Zhang	1998	9437013	MI:0915	EBI-8675233
P21333	P49810	FLNA	PSEN2	MI:0018	Zhang	1998	9437013	MI:0915	EBI-8675213
P49810	O75369	PSEN2	FLNB	MI:0019	Zhang	1998	9437013	MI:0915	EBI-8675309
O75369	P49768	FLNB	PSEN1	MI:0019	Zhang	1998	9437013	MI:0915	EBI-8675263
P21333	P49810	FLNA	PSEN2	MI:0019	Zhang	1998	9437013	MI:0915	EBI-8675277
P49768	P21333	PSEN1	FLNA	MI:0019	Zhang	1998	9437013	MI:0915	EBI-8675291
P49810	Q07817	PSEN2	BCL2L1	MI:0018	Passer	1999	10446169	MI:0915	EBI-7072489
Q07817	P49768	BCL2L1	PSEN1	MI:0018	Passer	1999	10446169	MI:0915	EBI-7072509
Q07817	P49810	BCL2L1	PSEN2	MI:0019	Passer	1999	10446169	MI:0915	EBI-7072537
P49810	Q07817	PSEN2	BCL2L1	MI:0416	Passer	1999	10446169	MI:0403	EBI-7072575
P49810	P30626	PSEN2	SRI	MI:0049	Pack	2000	10748169	MI:0407	EBI-7255001
P30626	P49810	SRI	PSEN2	MI:0019	Pack	2000	10748169	MI:0915	EBI-7255040
P49810	Q9UMX0	PSEN2	UBQLN1	MI:0096	Mah	2000	11076969	MI:0407	EBI-7439770
P49768	Q9UMX0	PSEN1	UBQLN1	MI:0096	Mah	2000	11076969	MI:0407	EBI-7439797

