gene_symbol_A	hprd_id_A	protein_accession_A	gene_symbol_B	hrpd_id_B	protein_accession_B
SYTL4	6735	NP_542775.2	RAB8A	1296	NP_005361.2
RIMS2	9436	NP_001093587.1	RAB8A	1296	NP_005361.2
RPH3A	15273	NP_001137326.1	RAB8A	1296	NP_005361.2
FLT1	1297	NP_002010.2	FLT1	1297	NP_002010.2
KDR	1867	NP_002244.1	FLT1	1297	NP_002010.2
VEGFA	1889	NP_001020537.2	FLT1	1297	NP_002010.2
PLCG2	2570	AAH11772.1	FLT1	1297	NP_002010.2
SHC1	2780	NP_001123512.1	FLT1	1297	NP_002010.2
PGF	3076	NP_002623.2	FLT1	1297	NP_002010.2
VEGFB	3237	NP_003368.1	FLT1	1297	NP_002010.2
GNAI3	765	NP_006487.1	CD59	117	NP_000602.1
ATR	8369	NP_001175.2	FLT1	1297	NP_002010.2
ERG	1298	NP_001129626.1	ERG	1298	NP_001129626.1
SPI1	1305	NP_001074016.1	ERG	1298	NP_001129626.1
FLI1	1901	NP_002008.2	ERG	1298	NP_001129626.1
ETV1	2765	NP_004947.2	ERG	1298	NP_001129626.1
SETDB1	6828	NP_001138887.1	ERG	1298	NP_001129626.1
SMAD7	4241	NP_005895.1	TTF1	2866	NP_031370.2
SOS1	1681	NP_005624.2	RRAS	1299	NP_006261.1
ARAF	2405	NP_001645.1	RRAS	1299	NP_006261.1
NCK1	2740	NP_006144.1	RRAS	1299	NP_006261.1
CD9	880	NP_001760.1	CD59	117	NP_000602.1
EPHB2	2997	NP_004433.2	RRAS	1299	NP_006261.1
RALGDS	3371	NP_006257.1	RRAS	1299	NP_006261.1
RASSF5	6117	NP_872604.1	RRAS	1299	NP_006261.1
NAV2	7385	NP_892009.3	RRAS	1299	NP_006261.1
RASIP1	15214	NP_060275.2	RRAS	1299	NP_006261.1
COL4A5	2363	NP_203699.1	OSM	1300	NP_065391.1
COL4A6	2364	NP_001838.2	OSM	1300	NP_065391.1
IL6ST	2824	NP_002175.2	OSM	1300	NP_065391.1
OSMR	3446	NP_003990.1	OSM	1300	NP_065391.1
CD2	1750	AAA51946.1	CD59	117	NP_000602.1
LYN	1301	NP_002341.1	LYN	1301	NP_002341.1
CBL	1320	NP_005179.2	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	PLCG1	1398	NP_002651.2
PECAM1	1425	NP_000433.3	LYN	1301	NP_002341.1
CD36	1430	NP_000063.2	LYN	1301	NP_002341.1
PTPN6	1475	NP_536859.1	LYN	1301	NP_002341.1
TYK2	1490	NP_003322.3	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	PRKCD	1501	NP_006245.2
LYN	1301	NP_002341.1	BTK	2248	NP_000052.1
GRIA3	2378	NP_000819.3	LYN	1301	NP_002341.1
DSTN	16446	NP_006861.1	ACTG1	17	NP_001605.1
SRC	1819	NP_005408.1	CD59	117	NP_000602.1
MATK	2496	NP_002369.2	LYN	1301	NP_002341.1
CD24	2510	NP_037362.1	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	SYK	2514	NP_003168.2
PDE4A	2527	NP_001104777.1	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	PLCG2	2570	AAH11772.1
PRKCQ	2710	NP_006248.1	LYN	1301	NP_002341.1
SHC1	2780	NP_001123512.1	LYN	1301	NP_002341.1
CASP3	2799	NP_004337.2	LYN	1301	NP_002341.1
HNRNPK	2834	NP_002131.2	LYN	1301	NP_002341.1
PTK2	2859	NP_005598.3	LYN	1301	NP_002341.1
SLC6A8	2073	NP_005620.1	CD59	117	NP_000602.1
PRKDC	2941	NP_008835.5	LYN	1301	NP_002341.1
PTK2B	3131	NP_004094.3	LYN	1301	NP_002341.1
PIK3CG	3135	NP_002640.2	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	HCLS1	3199	NP_005326.2
LCP2	3362	NP_005556.1	LYN	1301	NP_002341.1
MAPK3	3479	NP_002737.2	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	MAP4K1	3583	NP_009112.1
KHDRBS1	3926	NP_006550.1	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	RGS16	3945	NP_002919.3
UBXN11	10245	NP_892120.2	ZFYVE9	4782	NP_004790.2
NCR1	5167	NP_004820.1	CD59	117	NP_000602.1
LYN	1301	NP_002341.1	PPP1R8	4028	NP_054829.2
NPHS1	4094	NP_004637.1	LYN	1301	NP_002341.1
DLG4	4199	NP_001356.1	LYN	1301	NP_002341.1
BCAR1	4248	NP_055382.2	LYN	1301	NP_002341.1
UNC119	4927	NP_005139.1	LYN	1301	NP_002341.1
TRAT1	5392	NP_057472.2	LYN	1301	NP_002341.1
SKAP1	5396	NP_003717.3	LYN	1301	NP_002341.1
SKAP2	5558	NP_003921.2	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	TRPV4	5667	NP_067638.3
PAG1	5772	NP_060910.3	LYN	1301	NP_002341.1
NCR3	11384	NP_667341.1	CD59	117	NP_000602.1
GAB2	5866	NP_036428.1	LYN	1301	NP_002341.1
PRAM1	5926	NP_115528.3	LYN	1301	NP_002341.1
GAB3	6571	NP_001075042.1	LYN	1301	NP_002341.1
PPP1R15A	6572	NP_055145.3	LYN	1301	NP_002341.1
LYN	1301	NP_002341.1	FCGR2B	6849	NP_003992.3
INPP5D	9033	NP_001017915.1	LYN	1301	NP_002341.1
CBLC	9765	NP_036248.3	LYN	1301	NP_002341.1
BANK1	9819	NP_060405.4	LYN	1301	NP_002341.1
GP6	10406	BAB12247.1	LYN	1301	NP_002341.1
EVL	10942	NP_057421.1	LYN	1301	NP_002341.1
GRB2	150	NP_002077.1	CD72	118	NP_001773.1
NEDD9	11888	NP_006394.1	LYN	1301	NP_002341.1
CHST15	12203	NP_056976.2	LYN	1301	NP_002341.1
SH2B2	16097	NP_066189.3	LYN	1301	NP_002341.1
DOK3	16834	NP_079148.2	LYN	1301	NP_002341.1
JUN	1302	NP_002219.1	JUN	1302	NP_002219.1
SPI1	1305	NP_001074016.1	JUN	1302	NP_002219.1
POU1F1	1409	NP_001116229.1	JUN	1302	NP_002219.1
MAF	1518	NP_005351.2	JUN	1302	NP_002219.1
RB1	1574	NP_000312.2	JUN	1302	NP_002219.1
NR5A1	1702	NP_004950.2	JUN	1302	NP_002219.1
CD5	1078	NP_055022.2	CD72	118	NP_001773.1
NFYA	1793	NP_002496.1	JUN	1302	NP_002219.1
SP1	1796	NP_612482.2	JUN	1302	NP_002219.1
GTF2F2	1804	NP_004119.1	JUN	1302	NP_002219.1
ABL1	1809	NP_009297.2	JUN	1302	NP_002219.1
TPM1	1839	NP_000357.3	JUN	1302	NP_002219.1
HCFC1	2061	NP_005325.2	JUN	1302	NP_002219.1
TAF1	2436	NP_004597.2	JUN	1302	NP_002219.1
AR	2437	NP_000035.2	JUN	1302	NP_002219.1
TBP	2511	NP_003185.1	JUN	1302	NP_002219.1
CREBBP	2534	NP_004371.2	JUN	1302	NP_002219.1
PTPN6	1475	NP_536859.1	CD72	118	NP_001773.1
RUNX2	2566	NP_001019801.3	JUN	1302	NP_002219.1
STAT1	2777	NP_009330.1	JUN	1302	NP_002219.1
STAT4	2779	NP_003142.1	JUN	1302	NP_002219.1
HMGA1	2829	NP_665906.1	JUN	1302	NP_002219.1
PRKDC	2941	NP_008835.5	JUN	1302	NP_002219.1
SMAD4	2995	NP_005350.1	JUN	1302	NP_002219.1
PIN1	3031	NP_006212.1	JUN	1302	NP_002219.1
MAPK8	3100	NP_620637.1	JUN	1302	NP_002219.1
NACA	3137	NP_001106674.1	JUN	1302	NP_002219.1
SMAD2	3221	NP_005892.1	JUN	1302	NP_002219.1
SEMA4D	3520	NP_006369.3	CD72	118	NP_001773.1
TDG	3251	NP_003202.3	JUN	1302	NP_002219.1
FOSL2	3343	NP_005244.1	JUN	1302	NP_002219.1
SMARCD1	3438	NP_003067.3	JUN	1302	NP_002219.1
VDR	3463	NP_000367.1	JUN	1302	NP_002219.1
MAPK3	3479	NP_002737.2	JUN	1302	NP_002219.1
SUMO1	3554	NP_003343.1	JUN	1302	NP_002219.1
NCOA3	3570	NP_858045.1	JUN	1302	NP_002219.1
NRIP1	3927	NP_003480.2	JUN	1302	NP_002219.1
TGIF1	4023	NP_733796.2	JUN	1302	NP_002219.1
NCOA1	4070	NP_003734.3	JUN	1302	NP_002219.1
BLNK	5153	NP_037446.1	CD72	118	NP_001773.1
EP300	4078	NP_001420.2	JUN	1302	NP_002219.1
MAPK9	4206	NP_002743.3	JUN	1302	NP_002219.1
TSC22D3	4266	NP_932174.1	JUN	1302	NP_002219.1
TCF20	4378	NP_005641.1	JUN	1302	NP_002219.1
SMAD3	4380	NP_005893.1	JUN	1302	NP_002219.1
DHX9	4386	NP_001348.2	JUN	1302	NP_002219.1
ATF3	4395	NP_001665.1	JUN	1302	NP_002219.1
HIF1A	4517	NP_001521.1	JUN	1302	NP_002219.1
TRIP4	5140	NP_057297.2	JUN	1302	NP_002219.1
MYBBP1A	5349	NP_001099008.1	JUN	1302	NP_002219.1
SERPINA3	120	NP_001076.2	SERPINA3	120	NP_001076.2
PRKD1	5668	NP_002733.2	JUN	1302	NP_002219.1
DDX21	5895	NP_004719.2	JUN	1302	NP_002219.1
SPIB	6007	Q01892	JUN	1302	NP_002219.1
PACS1	6320	NP_060496.2	JUN	1302	NP_002219.1
ATF4	6817	NP_001666.2	JUN	1302	NP_002219.1
HHEX	6829	NP_002720.1	JUN	1302	NP_002219.1
COPS5	6888	NP_006828.2	JUN	1302	NP_002219.1
MAFB	7129	NP_005452.2	JUN	1302	NP_002219.1
RFWD2	7455	NP_071902.2	JUN	1302	NP_002219.1
EN1	8835	NP_001417.3	JUN	1302	NP_002219.1
TBCB	3196	NP_001272.2	USP7	3950	NP_003461.2
CTSG	289	NP_001902.1	SERPINA3	120	NP_001076.2
GTF2B	8928	NP_001505.1	JUN	1302	NP_002219.1
HDAC3	8950	NP_003874.2	JUN	1302	NP_002219.1
UBE2I	9045	NP_003336.1	JUN	1302	NP_002219.1
RBM39	9201	NP_909122.1	JUN	1302	NP_002219.1
RAGE	9310	NP_055041.1	JUN	1302	NP_002219.1
MAPKAPK5	9467	NP_620777.1	JUN	1302	NP_002219.1
BATF	9820	NP_006390.1	JUN	1302	NP_002219.1
CREB5	9896	NP_878901.2	JUN	1302	NP_002219.1
COBRA1	10845	NP_056271.2	JUN	1302	NP_002219.1
TPM2	11768	NP_003280.2	JUN	1302	NP_002219.1
CTRL	344	NP_001898.1	SERPINA3	120	NP_001076.2
PIAS1	16029	NP_057250.1	JUN	1302	NP_002219.1
RPL18A	16045	NP_000971.1	JUN	1302	NP_002219.1
JDP2	16360	NP_001128521.1	JUN	1302	NP_002219.1
SNRK	18082	NP_060189.3	JUN	1302	NP_002219.1
RNPEP	4055	NP_064601.3	ZFYVE9	4782	NP_004790.2
FHL2	4026	NP_001441.4	ZFYVE9	4782	NP_004790.2
EIF4G1	6774	NP_886553.2	ZFYVE9	4782	NP_004790.2
ZMYND8	10166	NP_898868.1	ZFYVE9	4782	NP_004790.2
CHD6	13049	NP_115597.3	ZFYVE9	4782	NP_004790.2
RBBP6	2964	NP_008841.2	ZFYVE9	4782	NP_004790.2
CTRB1	345	NP_001897.4	SERPINA3	120	NP_001076.2
RHOT2	15248	NP_620124.1	ZFYVE9	4782	NP_004790.2
SMAD5	4381	NP_005894.3	SF3B1	9281	NP_036565.2
MAPK14	2619	NP_001306.1	JUNB	1303	NP_002220.1
SMAD4	2995	NP_005350.1	JUNB	1303	NP_002220.1
MAPK8	3100	NP_620637.1	JUNB	1303	NP_002220.1
FOSL2	3343	NP_005244.1	JUNB	1303	NP_002220.1
SMAD3	4380	NP_005893.1	JUNB	1303	NP_002220.1
BATF	9820	NP_006390.1	JUNB	1303	NP_002220.1
JDP2	16360	NP_001128521.1	JUNB	1303	NP_002220.1
TBP	2511	NP_003185.1	JUND	1304	NP_005345.3
CMA1	346	NP_001827.1	SERPINA3	120	NP_001076.2
NFE2L2	2732	NP_006155.2	JUND	1304	NP_005345.3
SMAD4	2995	NP_005350.1	JUND	1304	NP_005345.3
MAPK8	3100	NP_620637.1	JUND	1304	NP_005345.3
FOSL2	3343	NP_005244.1	JUND	1304	NP_005345.3
MAPK9	4206	NP_002743.3	JUND	1304	NP_005345.3
ATF3	4395	NP_001665.1	JUND	1304	NP_005345.3
COPS5	6888	NP_006828.2	JUND	1304	NP_005345.3
RFWD2	7455	NP_071902.2	JUND	1304	NP_005345.3
BATF	9820	NP_006390.1	JUND	1304	NP_005345.3
JDP2	16360	NP_001128521.1	JUND	1304	NP_005345.3
MMP1	384	NP_002412.1	SERPINA3	120	NP_001076.2
SMAD5	4381	NP_005894.3	SMAD4	2995	NP_005350.1
CEBPB	1801	NP_005185.2	SPI1	1305	NP_001074016.1
NONO	2098	NP_031389.3	SPI1	1305	NP_001074016.1
GATA1	2372	NP_002040.1	SPI1	1305	NP_001074016.1
IRF8	3336	NP_002154.1	SPI1	1305	NP_001074016.1
IRF4	3543	NP_002451.2	SPI1	1305	NP_001074016.1
SPIB	6007	Q01892	SPI1	1305	NP_001074016.1
SMAD5	4381	NP_005894.3	SMAD1	3356	NP_005891.1
FGFR2	1492	NP_075261.1	FGF5	1307	NP_004455.2
CELA1	553	NP_001962.3	SERPINA3	120	NP_001076.2
SMAD5	4381	NP_005894.3	MTMR10	7895	NP_060232.2
OPRK1	1309	NP_000903.2	OPRD1	1308	NP_000902.3
PRKCA	1498	NP_002728.1	OPRD1	1308	NP_000902.3
PRKCE	1500	NP_005391.1	OPRD1	1308	NP_000902.3
PRKCD	1501	NP_006245.2	OPRD1	1308	NP_000902.3
OPRM1	2484	NP_001138751.1	OPRD1	1308	NP_000902.3
KLHL3	9011	NP_059111.2	OPRD1	1308	NP_000902.3
ELANE	554	NP_001963.1	SERPINA3	120	NP_001076.2
SLC9A3R1	5406	NP_004243.1	OPRK1	1309	NP_000903.2
CREBBP	2534	NP_004371.2	MECOM	1310	NP_001098547.3
HDAC1	3143	NP_004955.2	MECOM	1310	NP_001098547.3
CTBP1	4015	NP_001319.1	MECOM	1310	NP_001098547.3
CTBP2	4016	NP_073713.2	MECOM	1310	NP_001098547.3
SMAD3	4380	NP_005893.1	MECOM	1310	NP_001098547.3
HDAC4	5610	NP_006028.2	MECOM	1310	NP_001098547.3
KAT2B	6780	NP_003875.3	MECOM	1310	NP_001098547.3
SMAD5	4381	NP_005894.3	PNKP	9284	NP_009185.2
ZIC1	2718	NP_003403.2	GLI1	1311	NP_005260.1
MST1	798	NP_066278.3	SERPINA3	120	NP_001076.2
ZIC2	4353	NP_009060.2	GLI1	1311	NP_005260.1
SUFU	6124	NP_057253.2	GLI1	1311	NP_005260.1
STK36	9631	NP_056505.2	GLI1	1311	NP_005260.1
SMAD5	4381	NP_005894.3	SFPQ	7284	NP_005057.1
ZIC1	2718	NP_003403.2	GLI2	1312	NP_005261.2
ZIC2	4353	NP_009060.2	GLI2	1312	NP_005261.2
SUFU	6124	NP_057253.2	GLI2	1312	NP_005261.2
STK36	9631	NP_056505.2	GLI2	1312	NP_005261.2
ZIC3	2225	NP_003404.1	GLI3	1313	P10071
CREBBP	2534	NP_004371.2	GLI3	1313	P10071
KLK2	1006	NP_005542.1	SERPINA3	120	NP_001076.2
ZIC1	2718	NP_003403.2	GLI3	1313	P10071
SMAD4	2995	NP_005350.1	GLI3	1313	P10071
SMAD2	3221	NP_005892.1	GLI3	1313	P10071
SMAD1	3356	NP_005891.1	GLI3	1313	P10071
TWIST1	3374	NP_000465.1	GLI3	1313	P10071
ZIC2	4353	NP_009060.2	GLI3	1313	P10071
SMAD3	4380	NP_005893.1	GLI3	1313	P10071
SUFU	6124	NP_057253.2	GLI3	1313	P10071
STK36	9631	NP_056505.2	GLI3	1313	P10071
SMAD4	2995	NP_005350.1	SKIL	1319	NP_005405.2
ERBB2	1281	NP_004439.2	SERPINA3	120	NP_001076.2
SMAD2	3221	NP_005892.1	SKIL	1319	NP_005405.2
SMAD3	4380	NP_005893.1	SKIL	1319	NP_005405.2
CDC16	4587	NP_003894.3	SKIL	1319	NP_005405.2
